,Line 1 Street Address,coordinates
654,3368 SACRAMENTO ST San Francisco,"(37.7882323, -122.4481412)"
661,2126 SUTTER ST San Francisco,"(37.7860271, -122.4354934)"
664,1738 UNION ST San Francisco,"(37.7982575, -122.4279469)"
668,946 IRVING ST San Francisco,"(37.7641681, -122.4682314)"
681,2140 SUTTER ST San Francisco,"(37.7860241, -122.4357103)"
682,2354 POST ST San Francisco,"(37.7844047, -122.4407624)"
684,1927 22ND AVE San Francisco,"(37.7516755, -122.479752)"
687,1717 UNION ST San Francisco,"(37.7979621, -122.4276485)"
697,1199 BUSH ST San Francisco,"(37.7889576, -122.4166846)"
698,2186 GEARY BLVD San Francisco,"(37.7836923, -122.4393004)"
707,1655 TARAVAL ST San Francisco,"(37.7424527, -122.4840837)"
709,3150 CALIFORNIA ST San Francisco,"(37.7876584, -122.446198)"
714,4200 18TH ST San Francisco,"(37.7610122, -122.4362694)"
717,1420 CLEMENT ST San Francisco,"(37.782694, -122.47457)"
721,110 GOUGH ST San Francisco,"(37.7744088, -122.4223277)"
724,815 HYDE ST San Francisco,"(37.7885471, -122.4172275)"
731,1000 VALENCIA ST San Francisco,"(37.7567253, -122.421388)"
732,2000 VAN NESS AVE San Francisco,"(37.7941724, -122.4226713)"
744,2300 CALIFORNIA ST San Francisco,"(37.7894584, -122.4324808)"
748,345 W PORTAL AVE San Francisco,"(37.7371927, -122.4696635)"
752,3019 GEARY BLVD San Francisco,"(37.7816412, -122.451459)"
753,380 W PORTAL AVE E San Francisco,"(37.7370875, -122.4705637)"
754,818 JACKSON ST San Francisco,"(37.795922, -122.4086692)"
773,34 VAN NESS AVE San Francisco,"(37.7760639, -122.4192008)"
774,3637 SACRAMENTO ST B San Francisco,"(37.7871693, -122.4525268)"
780,CASTRO AND DUBOCE STREETS San Francisco,"(37.7690507, -122.4358075)"
782,4002 CALIFORNIA ST San Francisco,"(37.78572399999999, -122.4605975)"
783,1445 FILLMORE ST San Francisco,"(37.7830376, -122.4328056)"
